Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
npls,uzx4020nps,Net+,TV,1787MB,TV,Broadcom BCM7271,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.1
Next,YYT,Next,4K TV Stick,2087MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
NIKKEI,ikebukuro,Nikkei,NI32HG7NA9,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
NIKKEI,longshan,Nikkei,Android TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
NIKKEI,redwood,Nikkei,Android TV,962MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
NIKKEI,samseong,Nikkei,NI43UG7NA9,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
NobleSkiodo,ikebukuro,NobleSkiodo,32VRCHG5SP,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Noblex,SW4H,Noblex,Noblex TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Noblex,shinjuku,Noblex,NoblexTV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Nokia,DV6068H_Nokia,Nokia,DVN2KA01,1029MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Nokia,HND,Nokia,Nokia Steaming Box 8000,2086MB,TV,Amlogic AMLS905X3,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
NOKIA,R1,Nokia,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
NOKIA,R2,Nokia,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
NOKIA,R4,Nokia,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
Nokia,longshan,Nokia,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
Nokia,redwood,Nokia,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
Now_E,hk101,Now E,hk101,2085MB,TV,Amlogic AMLS905D,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
NowTV,3103,NowTV,3103A,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
O2,O2TV_B866V2,O2.CZ,O2 TV Box,2087MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
OK,bangbae,OK (Mediamark),OK,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
OK,ikebukuro,OK (Mediamark),ODL 32770H-TAB,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
